arxiv_id,title,link,label,labeled_at
2609.04324v1,Recovering Ionizing Photon Escape and Galaxy Scaling Relations in the LzLCS via Si II and C II Absorption Lines and Mock Spectra from a Radiation-Hydrodynamic Simulation,https://arxiv.org/abs/2609.04324,0,2026-09-08T19:22:54.200093+00:00
2609.04327v1,Widespread Inflows Reveal Baryonic Cycling in Star-forming and Quiescent Galaxies,https://arxiv.org/abs/2609.04327,0,2026-09-08T19:24:43.029947+00:00
2609.04328v1,Emergent dark sector in group field theory cosmology,https://arxiv.org/abs/2609.04328,1,2026-09-08T19:25:47.057078+00:00
2609.04332v1,Probing nuSMEFT at Belle II with displaced dilepton vertices,https://arxiv.org/abs/2609.04332,1,2026-09-08T19:26:05.545389+00:00
2609.04333v1,Reinterpreting Supersymmetry,https://arxiv.org/abs/2609.04333,1,2026-09-08T19:26:22.659571+00:00
2609.04334v1,Model Predictive Scoring Shows Specific BAO Observations (not SNIa) Drives w_0w_a Tension,https://arxiv.org/abs/2609.04334,0,2026-09-08T19:26:42.076424+00:00
2609.04340v1,Waveform models for the gravitational-wave memory effect: III. Phenomenological frequency-domain model for nonspinning binaries,https://arxiv.org/abs/2609.04340,1,2026-09-08T19:27:03.873655+00:00
2609.04349v1,"H I Absorbers as Beacons of Hidden Structure at z ~ 3: Multi-Component, Metal-Rich Absorption System near a Protocluster",https://arxiv.org/abs/2609.04349,1,2026-09-08T19:27:19.221009+00:00
2609.04351v1,Extending the Stellar-to-Halo Mass Relation to Dwarf Galaxies with DESI DR1,https://arxiv.org/abs/2609.04351,1,2026-09-08T19:30:07.965349+00:00
2609.05469v1,Lee-Yang zeros of modulated XY spin chains with Dzyaloshinskii-Moriya interaction: zero-contour topology and quantum phase-diagram reconstruction,https://arxiv.org/abs/2609.05469,1,2026-09-09T20:40:17.178753+00:00
2609.05470v1,Quantum phase transitions and quantum-information characterization of a non-Hermitian XY chain with staggered Dzyaloshinskii--Moriya interactions,https://arxiv.org/abs/2609.05470,1,2026-09-09T20:40:31.243408+00:00
2609.05471v1,Atmospheric Turbulence-Aware Optimization of Generalized Kennedy Receivers for Coherent-State BPSK Quantum Communication,https://arxiv.org/abs/2609.05471,0,2026-09-09T20:40:53.732301+00:00
2609.05472v1,Quantum information spreading via higher-order operator correlators,https://arxiv.org/abs/2609.05472,1,2026-09-09T20:41:39.801349+00:00
2609.05478v1,Can a Local Quantum-Mechanical Description of Physical Reality Be Considered Complete?,https://arxiv.org/abs/2609.05478,1,2026-09-09T20:41:59.103184+00:00
2609.05528v1,Photon-Ring Retarded- Time Tomography: The Mahakal Phenomenon,https://arxiv.org/abs/2609.05528,1,2026-09-09T20:42:46.326121+00:00
2609.05534v1,"Coherent multipath wave response on Reissner-Nordstr\""{o}m analogue surface",https://arxiv.org/abs/2609.05534,0,2026-09-09T20:44:43.400470+00:00
2609.05548v1,A Spatio-Temporal Self-Propagating Log-Gaussian Cox-Hawkes Process for Star Formation Modelling,https://arxiv.org/abs/2609.05548,0,2026-09-09T20:45:17.135907+00:00
2609.05554v1,Quantum-gravity-inspired Alcubierre warp-drive geometries,https://arxiv.org/abs/2609.05554,0,2026-09-09T20:46:37.851588+00:00
2609.05555v1,The I3322 quantum value is attained spatially but not in finite dimension,https://arxiv.org/abs/2609.05555,1,2026-09-09T20:47:52.175909+00:00
2609.05558v1,The Einstein Tensor from UV-regulated Field Correlations,https://arxiv.org/abs/2609.05558,1,2026-09-09T20:48:50.007547+00:00
2609.05595v1,End state of the experimental black-hole bomb,https://arxiv.org/abs/2609.05595,0,2026-09-09T20:49:10.721728+00:00
2609.05597v1,Exploring the dark sector through galaxy dynamics in clusters,https://arxiv.org/abs/2609.05597,1,2026-09-09T20:51:30.664295+00:00
